Sort,Reference,Source,Site name,Lat (°),Lon (°),Archive,Proxy,Change type,Climate signal,Excursion start (ka),Excursion end (ka),Duration (kyr),Reason not in database or TSid,Note,Biblio DOI
1,Amekawa et al. (2016),Literature search,Bagasra (BSR7),23.3,67.5,Marine sediment,d18O,Indeterminant: 3 year record,Cold,,,,Not continuous,,http://dx.doi.org/10.1016/j.quaint.2015.07.006
2,An et al. (2021),Literature search,Multiple Haidai region,36,118,Terrestrial sediment,Macrofossils (botanical),Event stratigraphy,Assumed deterioration,,,,Not continuous,,http://dx.doi.org/10.1080/14614103.2021.2003583
3,Arenas et al. (2022),Literature search,Cañada de La Enfermería,24.22,-110.28,Mollusk,d18O,Indeterminant: no overlap with 4.2 ka,No overlap with 4.2 ka,,,,Fails temporal duration/resolution,no data during 4.2 ka event,http://dx.doi.org/10.1177/09596836211066594
4,Arz et al. (2006),Railsback et al. 2018,GeoB5846-2,26.21,35.36,Marine sediment,d18O,Excursion,Dry,4.20,4.05,0.15,Data not available,duration from orginal chronology shown in Railsback figures,https:/doi.org/10.1016/j.yqres.2006.05.006
5,Azennoud et al. (2022),Literature search,Saiss Basin,33.73,-5.01,Terrestrial sediment,Tufa,Hiatus,Wet,,,,Not continuous,,http://dx.doi.org/10.1016/j.palaeo.2021.110767
6,Bar-Matthews et al. (1999),Railsback et al. 2018,Soreq Cave,31.76,35.02,Speleothem,d18O,Excursion,Dry,4.2,4.0,0.2,S2LR8DePB64lKW,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1016/S0012-821X(98)00275-1
7,Berger et al. (2012),Literature search,Hadramawt,15.5,48.63,Terrestrial sediment,Statigraphy,Event stratigraphy,Dry,,,,Not continuous,"""The hyperarid 4.2 ka event is associated with an unprecedented fluvial detrital phase with high energy discharges in the entire Hadramawt basin.""",http://dx.doi.org/10.1016/j.quaint.2011.10.037
8,Berkelhammer et al. (2012),Railsback et al. 2018,Mawmluh Cave (KM-A),25.26,91.88,Speleothem,d18O,Excursion,Dry,4.1,3.9,0.2,S2LR7XglDiUCAP,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1029/2012GM001207
9,Bliedtner et al. (2022),Literature search,Shireet Naiman Nuur,46.53,101.82,Lake sediment,Multiple,Mean shift,Cold,,,,Data not available,,http://dx.doi.org/10.3389/feart.2022.910782
10,Booth et al. (2004),Railsback et al. 2018,South Rhody Peatland,46.56,-86.08,Peat,Testate amoebae,Excursion,Dry,4.1,4.0,0.1,GH277c77ee,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1016/j.yqres.2003.07.013
11,Booth et al. (2005),Literature search,Multiple mid-west North America,40.5,-95,Terrestrial sediment,Dune,Event stratigraphy,Dry,,,,Not continuous,"""We present evidence from a variety of physical and biological proxies for a severe drought that affected the mid-continent of North America between 4.1 and 4.3 ka.""",http://dx.doi.org/10.1191/0959683605hl825ft
12,Brisset et al. (2012),Literature search,Lac Petit,44.11,7.19,Lake sediment,pollen,Not climate,Not climate,,,,No clear climate interpretation,"Google translate: ""The author refutes the climatic hypothesis, considering that the concomitant fall of almost all tree taxa does not reflect a natural regressive dynamic of vegetation.""",http://dx.doi.org/10.4000/quaternaire.6390
13,Carolin et al. (2019),Literature search,Gol-e-Zard cave,35.84,52,Speleothem,Mg/Ca,Excursion,Dry,4.26,3.97,0.29,Fails temporal duration/resolution,,http://dx.doi.org/10.1073/pnas.1808103115
14,Chase et al. (2009),Railsback et al. 2018,Spitzkoppe,-21.83,15.2,Midden,d15N,Excursion,Wet,4.15,3.50,0.65,WEB29d9f1fb,duration from original pub,https://doi.org/10.1130/G30053A.1
15,Cheng et al. (2021),Literature search,Multiple China,,,Speleothem,Multiple,Various,Various,,,,,wide-ranging review,http://dx.doi.org/10.1007/s11430-019-9478-3
16,Cheng et al. (2023),Literature search,Subei Plain (SPM1),32.73,120.22,Terrestrial sediment,Multiple,Mean shift,Wet,,,,Data not available,coastal floods,http://dx.doi.org/10.1016/j.palaeo.2022.111327
17,Comas-Bru et al. (2022),Literature search,Multiple global,,,Speleothem,Multiple,Various,Various,,,,,SISAL database,http://dx.doi.org/10.5194/essd-12-2579-2020
18,Constantin et al. (2007),Railsback et al. 2018,Poleva Cave,44.71,21.75,Speleothem,d18O,Excursion,Wet & cold,4.4,4.2,0.2,WEB21765f70,duration picked from Fig7 original pub,http://doi.org/10.1016/j.palaeo.2006.08.001
19,Cullen et al. (2000),Railsback et al. 2018,Core M5-422,23.67,59.04,Marine sediment,Dolomite %,Excursion,Dry,4.1,3.9,0.2,WEB-23c0c-29d1-472a-962e-0ccb9,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1130/0091-7613(2000)28<379:CCATCO>2.0.CO;2
20,Dang et al. (2020),Literature search,Yongxing Island,16.83,112.33,Coral,Growth rate,Variablity shift,ENSO variance,,,,Not continuous,,http://dx.doi.org/10.1007/s13131-019-1520-5
21,Dean et al. (2015),Literature search,Nar Gölü,38.34,34.46,Lake sediment,d18O & mineralogy,Excursion,Dry,4.30,4.15,0.15,WEB88fe721c,,http://dx.doi.org/10.1016/j.quascirev.2015.07.023
22,Di Rita & Magri (2019),Literature search,Multiple central Mediterranean,37,13,Lake sediment,Pollen,Excursion,Dry,,,,,"DK divided this article into two regions: ""Between 36 and 39◦ N, a forest decline is always visible around 4.2 k""",http://dx.doi.org/10.5194/cp-15-237-2019
23,Di Rita & Magri (2019),Literature search,Multiple central Mediterranean,44,9,Lake sediment,Pollen,No event,NA,,,,,"DK divided this article into two regions: ""sites located between 43 and 45◦ N do not show any significant vegetation change in correspondence with the 4.2 ka event.""",http://dx.doi.org/10.5194/cp-15-237-2019
24,Di Rita et al. (2018),Literature search,Gulf of Gaeta,40.97,13.78,Marine sediment,Pollen,Mean shift,Dry,,,,Data not available,,http://dx.doi.org/10.1016/j.quascirev.2017.11.012
25,Di Rita et al. (2022),Literature search,Crovani Pond,42.5,8.7,Lake sediment,Pollen,No event,NA,,,,,"""The 4.2 cal. BP event ... did not trigger a rapid response in the regional forest vegetation in Corsica""",http://dx.doi.org/10.1016/j.quascirev.2022.107372
26,Drake et al. (2012),Literature search,Chaco Canyon,36,-108,Midden,Pollen,Mean shift,Dry,,,,Fails temporal duration/resolution,,http://dx.doi.org/10.1177/0959683612449758
27,Drysdale (2006),Railsback et al. 2018,Buca della Renella,44.01,10.18,Speleothem,Mg/Ca,Excursion,Dry,4.1,3.8,0.3,Data not available,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1130/G22103.1
28,Dutt et al. (2021),Literature search,Multiple India,,,Multiple,Multiple,Various,Various,,,,,"""Protracted dry phase lasting ~1000 yrs was observed ~4.2 ka BP in southern and northwestern India whereas 200–300 yrs event occurred in northeastern parts""",http://dx.doi.org/10.18520/cs/v120/i9/1449-1457
29,Fedotov et al. (2021),Literature search,Lake Frolikha,55.43,110.02,Lake sediment,Multiple,Inflection,Dry,,,,Data not available,,https://doi.org/10.1016/j.quaint.2021.11.021
30,Gao et al. (2022),Literature search,Multiple,37,112,Terrestrial sediment,Flood frequency,Event stratigraphy,Wet,,,,Not continuous,"""and the episode at ~4000 cal. y BP was an extreme-flood-rich interval within and around the Qin River Basin.""",http://dx.doi.org/10.3390/land11071088
31,Geirsdottir et al. (2019),Literature search,Multiple Iceland,65,21,Lake sediment,Multiple,Mean shift,Cold,,,,,"""The prominent step toward cooling at 4.5–4.0 ka is statis- tically indistinguishable from the global ∼ 4.2 ka event and also coincides with Hekla 4, one of the largest explosive eruptions of the Holocene in Iceland.""",http://dx.doi.org/10.5194/cp-15-25-2019
32,Grachev et al. (2021),Literature search,Lake Khuko,43.93,39.8,Lake sediment,Multiple,Excursion,Dry,4.2,3.5,0.7,Data not available,CR fails climate interp,http://dx.doi.org/10.1177/0959683620972782
33,Groucutt et al. (2022),Literature search,Multiple Malta,36,14,Terrestrial sediment,Archaeological,Various,Various,,,,,"""we explore the idea that the end of the Temple Period relates to the 4.2 ka event.""",http://dx.doi.org/10.3389/feart.2021.771683
34,Hazell et al. (2022),Literature search,Akrotiri Marsh,34.63,32.93,Terrestrial sediment,Pollen & diatom,Excursion,Dry,4.6,4.2,0.4,Data not available,,http://dx.doi.org/10.1080/01916122.2022.2067259
35,Hazell et al. (2022),Literature search,Multiple eastern Mediterranean,,,Multiple,Multiple,Various,Various,,,,,"""We find a more complex record of changing aridity and societal response and provide a nuanced perspective on climate versus non-climate causes of Bronze Age societal ‘collapse’ event",http://dx.doi.org/10.1016/j.palaeo.2021.110788
36,He et al. (2022),Literature search,Multiple China,,,Terrestrial sediment,Macrofossils (botanical),Event stratigraphy,Assumed deterioration,,,,,"""A comparison of demographic, archaeobotanical and paleoclimatic records was conducted to reveal patterns of regional human pop- ulation and agricultural production in response to the 4.2 ka event""",http://dx.doi.org/10.1016/j.quascirev.2022.107786
37,Head (2019),Literature search,NA,,,NA,NA,NA,NA,,,,No original records presented,formal subdivision of the Quaternary System/Period: Present status and future directions,http://dx.doi.org/10.1016/j.quaint.2019.05.018
38,Helama and Oinonen (2019),Literature search,Finnish Lapland,69,27,Wood,d13C,Excursion,Wet,4.14,4.05,0.09,WEB-76844-2a6b-4a99-b071-425fb,cloudiness,http://dx.doi.org/10.1016/j.quascirev.2019.04.013
39,Hu et al. (2020),Literature search,Xisha Islands,17.08,113.5,Mollusk,d18O,Indeterminant: 40-yr record around 3.7 ka,No overlap with 4.2 ka,,,,No overlap with 4.2 ka,,http://dx.doi.org/10.5194/cp-16-597-2020
