Sort,Reference,Source,Site name,Lat (°),Lon (°),Archive,Proxy,Change type,Climate signal,Excursion start (ka),Excursion end (ka),Duration (kyr),Reason not in database or TSid,Note,Biblio DOI
40,Isola et al. (2019),Literature search,Corchia Cave (CC27),44.03,10.3,Speleothem,Multiple,Excursion,Dry,4.5,4.1,0.4,WEB-9acc1-d5fb-4a98-947c-ad076,,http://dx.doi.org/10.5194/cp-15-135-2019
41,Jaffe et al. (2021),Literature search,Multiple China,,,Terrestrial sediment,Archaeological,Various,Various,,,,,"""What the above cases demonstrate is that (1) the 4.2 ka BP event is often invoked by archaeologists and paleoclimatolo- gists in East Asia when it is convenient and largely ignored when it is not; (2) the 4.2 ka BP event (possibly complicated by millennial-scale phenomena) either had more regionally variable climatic impacts than is normally claimed, or, the impacts were met with both ecological and sociocultural responses that had dramatically different outcomes;""",http://dx.doi.org/10.1017/qua.2020.60
42,Jalali and Sicre (2019),Literature search,KSGC-31,43,3.29,Marine sediment,Uk37,Mean shift,Cold,,,,Data not available,,http://dx.doi.org/10.1007/978-3-030-01599-2_3
43,Jarriel (2021),Literature search,Cycladic islands,37,25,Multiple,Archaeological,Event stratigraphy,Assumed deterioration,,,,,"""small-world networks in the Early Bronze Age Cyclades were substantially altered in the face of the 4.2 ka climate event,""",http://dx.doi.org/10.1016/j.quaint.2020.08.010
44,Jia et al. (2021),Literature search,Sanfangwan,30.77,113.08,Terrestrial sediment,Pollen,Event stratigraphy,Wet,,,,Fails temporal duration/resolution,"""at the Sanfangwan Site the flood event between 4200 and 4100 cal. yr BP was coincident with the expansion of the Yunmengze Lake""",http://dx.doi.org/10.1016/j.catena.2021.105357
45,Jia et al. (2021),Literature search,Nanyang Basin,33,112,Terrestrial sediment,Macrofossils,Mean shift,Cold,,,,Not continuous,"""average latitude of the human settlements with rice cultivation shifted southward to 33.29° N during the Longshan Period (4500–4000 BP) due to the cold climate brought by the “4.2 ka event.”",http://dx.doi.org/10.1177/09596836211033201
46,Jordan et al. (2017),Search & Railsback et al. 2018,Spiddal (Galway),53.24,-9.31,Peat,n-Alkane,Indeterminant: single point in low-resolution record,Wet & cold,,,,,4.2 event identified as 1 point,http://dx.doi.org/10.1016/j.orggeochem.2017.02.004
47,Kajita et al. (2018),Literature search,MD06-3040 (Yangtze Delta),27.73,121.79,Marine sediment,Uk37,Excursion,Cold,4.4,3.8,0.6,Data not available,,http://dx.doi.org/10.1016/j.palaeo.2022.111310
48,Kajita et al. (2023),Literature search,HIUB1–1 (Hakata Bay),33.65,130.39,Marine sediment,Uk37,Mean shift,Cold,,,,Data not available,Unit IV in core HIUB1-1,http://dx.doi.org/10.1016/j.quascirev.2018.10.035
49,"Kang et al., (2023)",Literature search,HSL (Hunshandake Sandy Land),43,115,Terrestrial sediment,Dune,Mean shift,Dry,,,,Not continuous,,http://dx.doi.org/10.1016/j.quascirev.2022.107919
50,Kathayat et al. (2018),Literature search,Mawmluh Cave (ML.1 & ML.2),25.26,91.71,Speleothem,d18O & d13C,Mean shift,Dry,,,,Fails temporal duration/resolution,,http://dx.doi.org/10.5194/cp-14-1869-2018
51,Kawahata (2019),Literature search,Mutsu Bay,41,140.77,Marine sediment,Uk37,Mean shift,Cold,,,,WEB-1bc30-0c10-467d-9d36-560c8,,http://dx.doi.org/10.1186/s40645-019-0308-8
52,Kotlia and Joshi (2013),Literature search,Badanital Lake,30.5,78.93,Lake sediment,Multiple,Mean shift,Dry,,,,Fails temporal duration/resolution,,https://www.jstor.org/stable/24092104
53,Kropelin et al. (2008),Railsback et al. 2018,Lake Yoa,19.03,20.31,Lake sediment,MS,Excursion,Dry,4.2,4.0,0.2,Data not available,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1126/science.1154913
54,Laskar and Bohra (2021),Literature search,Multiple India,,,Multiple,Multiple,Various,Various,,,,,"""The two major climate events at 8.2 kyr and 4.2 kyr BP are evident in most of the climate proxies. """,http://dx.doi.org/10.3389/feart.2021.709455
55,Le Roy et al. (2017),Literature search,Ecrins-Pelvoux Massif,44.92,6.28,Moraines,Be10,Mean shift,Cold,,,,Not continuous,,http://dx.doi.org/10.1016/j.quascirev.2017.10.010
56,Lemcke and Sturm (1997),Railsback et al. 2018,Lake Van,38.4,43.2,Lake sediment,Quartz %,Excursion,Dry,4.25,4.05,0.2,Data not available,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1007/978-3-642-60616-8_29
57,Li et al. (2018),Literature search,La Vierge Cave (Rodrigues Island),-19.7,63.4,Speleothem,d18O & d13C,Excursion,Dry,3.9,3.5,0.4,Data not available,,http://dx.doi.org/10.5194/cp-14-1881-2018
58,Li et al. (2021),Literature search,Multiple,36,115,Terrestrial sediment,Flood frequency,Event stratigraphy,Wet,,,,Not continuous,,http://dx.doi.org/10.1016/j.catena.2021.105433
59,Liefert and Shuman (2022),Literature search,Highway 130 Lake (HL),41.35,-106.24,Lake sediment,d18O,Excursion,Dry,4.2,4.0,0.2,WEB-37500-2f39-49d9-a943-d0e61,,http://dx.doi.org/10.5194/cp-18-1109-2022
60,Lin et al. (2022),Literature search,Lake Tianchi,25.87,99.28,Lake sediment,Pollen,Excursion,Dry & cold,4.5,3.9,0.6,lcRLUGwe6u9sNwCWBA0,multiple climate interp (LC sperates T and P),http://dx.doi.org/10.1016/j.quascirev.2022.107809
61,Liu and Feng (2012),Search & Railsback et al. 2018,Multiple China,,,Multiple,Multiple,Various,Various,,,,,"""Our review of recently published climatic proxy sequences shows that the most dramatic climate tranistion of the mid Holocene (~8500–~3500 cal. yr BP) occurred at the middle- to late-Holocene transition at ~4000 cal. yr BP.""",http://dx.doi.org/10.1177/0959683612441839
62,Magny et al. (2009),Literature search,Lakes Accesa and Maliq,41.5,15,Lake sediment,Stratigraphy,Excursion,Dry,4.1,3.95,0.15,Data not available,"""Two phases characterised by wetter conditions.. bracket a phase marked by drier conditions at c. 4100–3950 cal. BP. This dry median episode may be a Mediterranean equivalent of the so-called ‘4.2 ka event’""",http://dx.doi.org/10.1177/0959683609337360
63,Menounos et al. (2008),Railsback et al. 2018,Redbarrel Lake,51.4,-121.2,Lake sediment,LOI,Excursion,Wet & cold,4.3,4.1,0.2,Data not available,duration from original pub,http://doi.org/10.1029/2008GL033172
64,Menounos et al. (2008),Railsback et al. 2018,Green Lake,57.68,-126.73,Lake sediment,LOI,Excursion,Wet & cold,4.4,4.0,0.4,Data not available,duration from original pub,http://doi.org/10.1029/2008GL033172
65,Mischke and Zhang (2010),Literature search,Lake Ximencuo,33.38,101.1,Lake sediment,Multiple,Mean shift,Cold,,,,Data not available,,http://dx.doi.org/10.1016/j.gloplacha.2010.02.001
66,Nakamura et al. (2016),Search & Railsback et al. 2018,Lake Rara,29.53,82.08,Lake sediment,Mn/Ti & Mn/Fe,Excursion,Dry,4.2,3.7,0.5,WEB-9e608-3b46-4c70-aa21-c7592,,http://dx.doi.org/10.1016/j.quaint.2015.05.053
67,Nichols (2021),Literature search,Multiple Sibera,,,Multiple,Archaeological,Event stratigraphy,Assumed deterioration,,,,,"""A severe and widespread drought beginning about 4,200 years ago cleared the way for a rapid spread of Uralic-speaking people along the Volga and across south- western Siberia""",http://dx.doi.org/10.1146/annurev-linguistics-011619-030405
68,O'Donnell et al. (2020),Literature search,Vung Tha,20.25,105.9,Terrestrial sediment,Pollen,Hiatus,Not stated,,,,Data not available,no data during 4.2 ka event,http://dx.doi.org/10.1016/j.quascirev.2020.106416
69,Ocakoglu et al. (2019),Literature search,Kureysler Valley (KS-6 and KS-4),39.3,29.8,Lake sediment,Multiple,Excursion,Dry,4.6,4.0,0.6,Data not available,,http://dx.doi.org/10.1016/j.quascirev.2019.04.016
70,"Ohlendorf et al, (2014)",Search & Railsback et al. 2018,Laguna Cháltel (Laguna Azul),-49.97,-71.12,Lake sediment,Multiple,Mean shift,Dry,,,,No clear climate interpretation,CR fails climate interp,http://dx.doi.org/10.1016/j.palaeo.2014.06.030
71,Pleskot et al. (2020),Literature search,Lake Spore,53.8,16.73,Lake sediment,Multiple,Excursion,Cold,4.25,4.00,0.25,Data not available,,http://dx.doi.org/10.1016/j.catena.2020.104565
72,Prasad and Enzel (2006),Railsback et al. 2018,Nal Sarovar,23,72,Lake sediment,C/N,Indeterminant: single point in low-resolution record,Dry,,,,Data not available,4.2 event identified as 1 point,http:/doi.org/10.1016/j.yqres.2006.05.008
73,Psomiadis et al. (2017),Railsback et al. 2018,Skala marion Cave,40.64,24.5,Speleothem,d18O,Excursion,Dry,4,3.4,0.6,S2LR6gyBxnVNNh,,http://dx.doi.org/10.1016/j.palaeo.2017.10.021
74,Railsback et al. (2011),Railsback et al. 2018,Cova da Arcoia,42.61,-7.09,Speleothem,Petrology,Hiatus,Wet,,,,S2LRP1bVgbttoT,,http://dx.doi.org/10.1016/j.quascirev.2018.02.015
75,Railsback et al. (2022),Literature search,Dante Cave,-19.4,17.88,Speleothem,d18O & d13C,Excursion,Wet,4.15,3.93,0.22,S2LRNNRQiP9T5J,,http://dx.doi.org/10.1016/j.palaeo.2021.110756
76,Ran and Chen (2019),Literature search,Multiple NH low-middle latitudes,,,Multiple,Multiple,Various,Various,,,,,"""This paper first attempts to portray a global picture of this “4.2 ka Event” and then reviews those reliably-dated sequences containing “4.2 ka Event” retrieved from the domains of four major civilizations. """,http://dx.doi.org/10.1016/j.quaint.2019.05.030
77,Regattieri et al. (2014),Railsback et al. 2018,Corchia Cave,43.98,10.22,Speleothem,Moisture index,Excursion,Dry,4.4,4.0,0.4,WEB5f442d8b,duration from original pub,https://doi.org/10.1002/jqs.2712
78,Renssen (2022),Literature search,Multiple global,,,Multiple,Multiple,Various,Various,,,,,"""[climate] model results were evaluated against the global humidity anomaly signature for the 4.2ka event as provided by proxy-based reconstructions from 129 different sites""",http://dx.doi.org/10.1177/09596836221074031
79,Robles et al. (2022),Literature search,Lake Sevan,40.2,45.67,Lake sediment,Multiple,Excursion,Dry,4.2,3.7,0.5,Data not available,,http://dx.doi.org/10.1016/j.quascirev.2021.107297
80,Roland et al. (2014),Literature search,Sluggan Moss; Fallahogy Bog,54.84,-6.4,Peat,Testate amoebae,No event,No event,,,,Data not available,no 4.2 event reported,http://dx.doi.org/10.1016/j.quascirev.2013.10.024
81,Roy et al. (2022),Literature search,Bhojbasa kame terrace (KMT),30.76,78.91,Terrestrial sediment,Pollen,Excursion,Dry,4.4,3.8,0.6,Data not available,,http://dx.doi.org/10.1016/j.jseaes.2022.105080
82,Saravanan et al. (2019),Literature search,Core SK291/GC15,14.69,73.23,Marine sediment,Multiple,Mean shift,Dry,,,,No clear climate interpretation,"upwelling ""Various benthic biofacies combined with isotope and planktic foraminiferal data suggest that depletion of dissolved oxygen and increase in organic productivity in the study area was caused by intense monsoonal upwelling since the middle Holocene.""",http://dx.doi.org/10.1016/j.jseaes.2019.103915
83,Schirrmacher et al. (2019),Literature search,GeoB5901-2,36.21,-4.31,Marine sediment,n-Alkane,Excursion,Dry,4.4,4.3,0.1,WEB-595d8-0b2b-418f-8366-1195c,,http://dx.doi.org/10.5194/cp-15-617-2019
84,Schirrmacher et al. (2020),Literature search,ODP-161-976A,36.21,-4.31,Marine sediment,Leafwax dD,Excursion,Moisture source,4.2,3.7,0.5,No clear climate interpretation,Source water interp,http://dx.doi.org/10.1371/journal.pone.0243662
85,Scroxton et al. (2023),Literature search,Anjohikely (AK1),-15.56,46.87,Speleothem,d18O,Hiatus,Dry,,,,WEB-b7e9e-9996-44f5-9b99-96d39,,http://dx.doi.org/10.1016/j.quascirev.2022.107874
86,Scroxton et al. (2023),Literature search,Multiple tropical Indian Ocean,,,Speleothem,Multiple,Various,Various,,,,,"""while some in- dividual records from the Indian Ocean basin show locally significant climate excursions contemporaneous with the 4.2 ka event, when viewed basin wide the event has little regional coherence nor is it of unusual severity at most sites. """,http://dx.doi.org/10.1016/j.quascirev.2022.107837
87,Sharifi et al. (2015),Railsback et al. 2018,Neor Lake,35.96,38.56,Lake sediment,Ti,Excursion,Dry,4.25,3.95,0.3,LPDab328fd0,duration from orginal chronology shown in Railsback figures,https://doi.org/10.1016/j.quascirev.2015.07.006
88,Shuchun et al. (2022),Literature search,Yanling (Core YL),26.4,114.1,Peat,Multiple,Hiatus,Wet & warm,,,,Not continuous,hiatus above and below 4.2; no clear timing of event,http://dx.doi.org/10.1016/j.revpalbo.2022.104747
89,Singh et al. (2022),Literature search,Lilaur lake,28.44,79.04,Lake sediment,Grain size,Excursion,Dry,4.25,4.05,0.2,WEB-ea666-9066-4546-8cd7-938ea,CR fails climate interp,http://dx.doi.org/10.1016/j.quaint.2021.01.015
90,Stanley et al. (2003),Railsback et al. 2018,Nile Delta,31.1,32.5,Marine sediment,Sr,Excursion,Dry,4.2,4.0,0.2,Data not available,duration from original pub,https://doi.org/10.1002/gea.10065
91,Staubwasser (2003),Search & Railsback et al. 2018,Indus delta (63KA),24.62,65.99,Marine sediment,d18O,Mean shift,Dry,,,,T2L_SO90_63KA_d18o_ruber_SST_from_d18o_ruber,,http://dx.doi.org/10.1029/2002GL016822
92,Suric et al. (2021),Literature search,Nova Grgosova,45.82,14.67,Speleothem,Multiple,Excursion,Dry,4.3,4.1,0.2,Data not available,,http://dx.doi.org/10.1177/09596836211019120
93,Tan et al. (2018),Literature search,Xianglong Cve,33,106.33,Speleothem,d18O & d13C,Excursion,Wet,4.39,3.8,0.4,S2LRljclseoP6S,,http://dx.doi.org/10.1016/j.epsl.2017.11.044
94,Tan et al. (2020),Literature search,Wuya Cave,33.82,105.43,Speleothem,d18O,No event,No event,,,,WEB-25055-627a-46a8-868d-f4a69,,http://dx.doi.org/10.1029/2020GL090273
95,Thompson et al. (2002),Railsback et al. 2018,Kilimanjaro,-3.1,37.4,Glacier ice,Dust,Excursion,Dry,3.95,4.05,0.1,GH2dc435dc,dust spike; duration estimated from Fig. 4,http://doi.org/10.1126/science.1073198
96,Tian et al. (2020),Literature search,Huangqihai Lake,40.81,113.3,Lake sediment,Pollen,Mean shift,Dry,,,,Data not available,,http://dx.doi.org/10.1111/1755-6724.14565
97,Ticha et al. (2023),Literature search,Prášilské jezero,49.08,13.4,Lake sediment,Multiple,Mean shift,Wet,,,,No clear climate interpretation,brownification,http://dx.doi.org/10.1016/j.scitotenv.2022.159982
98,Toth and Aronson (2019),Literature search,Contadora Island,8.63,79.03,Coral,Sr/Ca & d18O,Hiatus,Cold,,,,Not continuous,"review paper, refers to previous work of Toth where no actual 4.2 event is present, hiatus in corral growth is an indicator of environmental change around that time: https://www.nature.com/articles/nclimate2541#Abs2",http://dx.doi.org/10.5194/cp-15-105-2019
99,Wang et al. (2022),Literature search,Remi Cave,29.23,109.36,Speleothem,d13C & Sr/Ca,Inflection,Wet,,,,,,http://dx.doi.org/10.1017/qua.2022.11
100,Wang et al. (2022),Literature search,Yazihai Lake,38.86,112.22,Lake sediment,Pollen,Excursion,Dry,4.34,3.88,0.46,Data not available,,http://dx.doi.org/10.1016/j.gloplacha.2022.103854
101,Xiao et al. (2019),Literature search,Daihai Lake,40.55,112.66,Lake sediment,Multiple,Excursion,Dry,4.06,3.69,0.37,Data not available,,http://dx.doi.org/10.1016/j.quaint.2018.06.025
102,Yan et al. (2014),Literature search,Hala Lake,38.5,97.5,Lake sediment,d18O,Excursion,Dry,4.5,4.1,0.4,LS14YAHA02a,,https://doi.org/10.1002/jqs.2712
103,Zanon et al. (2019),Literature search,Bande di Cavriana,45.37,10.58,Terrestrial sediment,Multiple,Excursion,Dry & warm,4.6,4.3,0.3,Data not available,,http://dx.doi.org/10.1016/j.quascirev.2019.105891
104,Zerathe et al. (2014),Literature search,Southwestern Alps,43.7,7,Terrestrial sediment,Landslides,Event stratigraphy,Wet,,,,Not continuous,,http://dx.doi.org/10.1016/j.quascirev.2014.02.015
105,Zhang et al. (2010),Railsback et al. 2018,Yuchuicun,33,117,Terrestrial sediment,Multiple,Mean shift,Dry,,,,Fails temporal duration/resolution,,https://doi.org/10.1007/s11442-010-0455-8
106,Zhang et al. (2018),Literature search,Shennong Cave,28.7,117.25,Speleothem,d18O & d13C,Excursion,Wet,4.2,3.9,0.3,Fails temporal duration/resolution,,http://dx.doi.org/10.5194/cp-14-1805-2018
107,Zhang et al. (2020),Literature search,Hulun Lake,49,117.33,Lake sediment,Pollen,Mean shift,Dry & cold,,,,Data not available,,http://dx.doi.org/10.1002/jqs.3231
108,Zhu et al. (2017),Railsback et al. 2018,Tanjialing,30.88,113.08,Lake sediment,Phytolith & charcol,Excursion,Dry,4.2,4.0,0.2,Not continuous,duration from original pub,https://doi.org/10.1371/journal.pone.0177287
109,Zielhofer et al. (2017),Railsback et al. 2018,Lake Sidi Ali,33.07,-5,Lake sediment,Grain size & geochemistry,Excursion,Dry,4.2,4.1,0.1,WEB-fc8d9-7b8f-44c7-b4cb-5a4a1,dust spike duration picked from figure,http://dx.doi.org/10.1016/j.quascirev.2017.07.010
110,Zolitschka et al. (2021),Literature search,Lagoa Dourada,-25.24,-50.05,Lake sediment,Multiple,Excursion,Wet,4.4,3.8,0.6,,"""century-long increases in rainfall with complex responses of the environmental system",http://dx.doi.org/10.1016/j.quascirev.2021.107204
111,,Wang et al. 2016,Alberta (not specified),55.2,-118.9,,,,Wet,,,,,,
112,,Wang et al. 2016,Alberta (not specified),53.6,-118,,,,Wet,,,,,,
113,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,Bill Williams River,33.947,-113.83,,,,Wet,,,,,,
114,"Ely 1992, Enzel et al. 1994, Ely et al. 1993, Ely 1997",Wang et al. 2016,Lower Virgin River,36.315,-113.6,,,,Wet,,,,,,
115,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,Big Sandy River,34.326,-113.57,,,,Wet,,,,,,
116,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,Burro Creek,34.273,-113.25,,,,Wet,,,,,,
117,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,East Fork Virgin River,36.547,-112.91,,,,Wet,,,,,,
118,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,Kanab Creek,36.094,-112.48,,,,Wet,,,,,,
119,"Melis 1990, Ely et al. 1993, Ely 1997",Wang et al. 2016,Oak Creek,34.411,-111.8,,,,Wet,,,,,,
